term,category,hateful_meaning,source
1488,white_nationalist,14 Words white supremacist slogan combined with Heil Hitler numeric code (H=8),ADL
ZOG,antisemitic,Zionist Occupied Government — antisemitic conspiracy theory about Jewish control of governments,ADL
globalists,antisemitic,Coded term for Jewish people allegedly controlling world affairs and economies,Mendelsohn2023
great replacement,white_nationalist,White nationalist conspiracy theory that diversity policies deliberately replace white populations,ADL
white genocide,white_nationalist,White supremacist claim that immigration and diversity are genocidal against white people,ADL
ethnostate,white_nationalist,Call for a racially homogeneous nation; white nationalist policy goal,ADL
race realist,white_nationalist,Euphemism for scientific racism; used to launder white supremacist pseudoscience,Mendelsohn2023
human biodiversity,white_nationalist,HBD — pseudoscientific framing used to assert racial hierarchies,Mendelsohn2023
accelerationism,white_nationalist,Ideology promoting societal collapse to hasten white nationalist revolution,ADL
juice,antisemitic,Phonetic evasion of Jews used to discuss antisemitic conspiracy theories while evading filters,Mendelsohn2023
skypes,antisemitic,Coded slur for Jewish people derived from a rhyming slang system,Mendelsohn2023
googles,racial,Coded anti-Black slur derived from a racist codeword substitution system,Mendelsohn2023
jogger,racial,Emerged after Ahmaud Arbery murder in 2020; adopted as a coded anti-Black slur,Mendelsohn2023
dindu,racial,Mocking phonetic distortion of did nothing wrong; used to dehumanize Black people accused of crimes,Mendelsohn2023
apes,racial,Dehumanizing comparison of Black people to primates,ADL
porch monkey,racial,Dehumanizing anti-Black slur,ADL
groids,racial,Shortened anti-Black slur derived from a longer slur,Mendelsohn2023
based,white_nationalist,In-group affirmation signal indicating alignment with white nationalist or far-right views,Mendelsohn2023
redpilled,white_nationalist,Adopted from far-right to signal radicalization to white nationalist ideology; references Matrix film,Mendelsohn2023
clown world,white_nationalist,Coded white nationalist expression lamenting demographic change; paired with honking emoji,ADL
honkler,white_nationalist,White nationalist Pepe the Frog clown variant; symbol of clown world ideology,ADL
groyper,white_nationalist,Followers of Nick Fuentes and America First movement; white nationalist in-group identity,ADL
moonman,white_nationalist,White supremacist cartoon character used to spread racist propaganda in music,ADL
siege culture,white_nationalist,Followers of James Mason promoting leaderless resistance and political violence,ADL
turner diaries,white_nationalist,Reference to white supremacist novel depicting race war; blueprint for domestic terrorism,ADL
echo,antisemitic,Triple parentheses notation (((name))) used to identify Jewish people online for harassment,ADL
triple parentheses,antisemitic,Notation used to mark Jewish names for online harassment and targeting,ADL
replacement migration,white_nationalist,UN term weaponized by white nationalists as evidence of great replacement conspiracy,Mendelsohn2023
AWFL,misogynist,Affluent White Female Liberal — dismissive acronym targeting progressive women,Mendelsohn2023
femoid,misogynist,Incel community dehumanizing portmanteau for women implying they are subhuman,ADL
roastie,misogynist,Incel slur for sexually active women implying physical degradation,Mendelsohn2023
stacy,misogynist,Incel term for conventionally attractive women; used derogatorily to signal resentment,Mendelsohn2023
becky,misogynist,Incel/red-pill term for average white women; often used dismissively,Mendelsohn2023
hypergamy,misogynist,Red-pill term claiming women only seek higher-status men; used to justify misogyny,Mendelsohn2023
groomer,lgbtq,Weaponized term falsely associating LGBTQ people and educators with child sexual abuse,Mendelsohn2023
grooming,lgbtq,Same as groomer; used to falsely link LGBTQ identity to predatory behavior,Mendelsohn2023
troon,lgbtq,Derogatory slur for transgender people,manual
transvestite,lgbtq,Outdated clinical term used as a slur against transgender people,manual
degeneracy,white_nationalist,Far-right term characterizing LGBTQ identities and multiculturalism as moral decay,ADL
degenerate,white_nationalist,Broad slur applied to LGBTQ people and non-white cultures by white nationalists,ADL
cuck,white_nationalist,Short for cuckold; used by alt-right to demean men seen as insufficiently racist or masculine,ADL
soyboy,white_nationalist,Alt-right slur for men perceived as insufficiently masculine or politically progressive,Mendelsohn2023
NPC,white_nationalist,Non-player character; alt-right meme dismissing political opponents as unthinking automatons,Mendelsohn2023
normie,white_nationalist,Dismissive term for people not radicalized into far-right ideology,Mendelsohn2023
day of the rope,white_nationalist,Reference to Turner Diaries mass execution scene; used as threat against non-whites and race traitors,ADL
race traitor,white_nationalist,White nationalist slur for white people who support racial equality or interracial relationships,ADL
demographic replacement,white_nationalist,White nationalist framing of immigration as existential threat to white populations,Mendelsohn2023
k1ke,antisemitic,Leetspeak evasion of a slur for Jewish people,manual
n1gger,racial,Leetspeak evasion of the most severe anti-Black slur,manual
f4ggot,lgbtq,Leetspeak evasion of homophobic slur,manual
